Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	Pearson_E	Pearson_P
HID1pS653	RPS28	0.736263292	1.15E-06	0.439567383	-0.099371533	0.771287941
HID1pS653	RSL24D1	-0.370546108	2.55E-05	-0.543045924	-0.388648311	0.341339686
HID1pS653	SMN1	0.83780333	2.08E-06	0.491758272	-0.171207739	0.685203397
HID1pS653	SNIP1	0.95827233	8.77E-06	0.535783443	-0.063202668	0.881810204
HID1pS653	SRSF5	0.882315954	4.05E-07	0.541015198	-0.038456905	0.910618585
HID1pS653	TMEM181	-0.840249094	4.63E-07	-1.16692732	-0.589673996	0.094683357
HID1pS653	TPCN1	-0.61041527	5.13E-05	-0.905853231	-0.508641033	0.11010417
HID1pS653	UBTF	0.534295393	3.70E-05	0.280463449	-0.090506102	0.791284238
HID1pS653	ZFP91	0.82318115	5.24E-06	0.468973079	0.093859716	0.810188738
TEX2pS736	FAT4	-1.277804944	6.40E-06	-1.832777339	-0.528070158	0.052256478
ARHGAP12pS592	ARNT	-0.279734994	6.83E-07	-0.390136926	-0.006304679	0.982934167
ARHGAP12pS592	C11orf68	0.224354761	3.11E-06	0.130068331	0.577399255	0.009633381
ARHGAP12pS592	CDYL	-0.260175697	1.76E-05	-0.378938092	-0.556255208	0.031286757
ARHGAP12pS592	CHL1	0.700046041	5.80E-07	0.425518425	0.557666494	0.038257121
ARHGAP12pS592	CISD3	0.420929107	1.09E-06	0.251693334	0.528288055	0.063469765
ARHGAP12pS592	CKAP5	-0.113874265	2.31E-05	-0.166609031	-0.088478388	0.710683613
ARHGAP12pS592	COMMD3	-0.107246663	4.73E-05	-0.158911697	-0.121531974	0.60976415
ARHGAP12pS592	DAXX	-0.206010704	1.79E-05	-0.300145989	-0.090106042	0.713733548
ARHGAP12pS592	DIMT1	-0.244482664	1.66E-07	-0.33603795	-0.325071689	0.17446884
ARHGAP12pS592	EHMT1	-0.263829008	7.94E-07	-0.368573216	-0.229968298	0.374569141
ARHGAP12pS592	EMC8	-0.17342602	3.35E-05	-0.255364531	-0.083879002	0.725149411
ARHGAP12pS592	ERBIN	-0.166280299	2.94E-05	-0.244279844	0.016231596	0.945849346
ARHGAP12pS592	EXOSC5	-0.169132862	3.95E-05	-0.249775319	0.030620688	0.898028834
ARHGAP12pS592	FAH	0.235689565	2.24E-05	0.126729119	0.578028318	0.007597502
ARHGAP12pS592	MINDY1	-0.319574726	2.49E-06	-0.45258142	-0.397254516	0.127601116
ARHGAP12pS592	FAM83E	-0.892918463	1.15E-08	-1.199608385	0.027098492	0.94076556
ARHGAP12pS592	FGFR1OP2	-0.178355834	3.26E-05	-0.262497587	-0.295305779	0.219663153
ARHGAP12pS592	FOLH1	-0.329576316	3.00E-05	-0.484357364	-0.499177964	0.082448371
ARHGAP12pS592	FYTTD1	-0.225009998	4.93E-05	-0.33366195	-0.105131153	0.668406542
ARHGAP12pS592	GATM	-0.308715391	1.19E-05	-0.446864706	0.01648001	0.945021796
ARHGAP12pS592	RACK1	-0.071885878	3.39E-06	-0.1022151	-0.272019078	0.245960033
ARHGAP12pS592	GSDMB	0.29642681	1.36E-05	0.162890983	0.48253141	0.080542603
ARHGAP12pS592	HECA	-0.331838035	4.60E-06	-0.473770982	-0.115755352	0.734668165
ARHGAP12pS592	HIRIP3	-0.230855133	3.70E-06	-0.328636145	-0.235614689	0.485517994
ARHGAP12pS592	IL4I1	-0.246165226	2.77E-05	-0.361268879	-0.033677959	0.88790638
ARHGAP12pS592	ISG20L2	-0.240863535	4.00E-05	-0.355792389	-0.108721713	0.750333005
ARHGAP12pS592	MED21	-0.249297689	4.19E-05	-0.368570404	-0.004284209	0.988917487
ARHGAP12pS592	MEF2D	-0.234707442	2.37E-05	-0.343547358	-0.316019723	0.201408751
ARHGAP12pS592	MYO18A	-0.129713006	7.57E-06	-0.18650059	-0.20061602	0.396390919
ARHGAP12pS592	NAT10	-0.140424914	3.93E-05	-0.207368358	-0.264762792	0.259280547
ARHGAP12pS592	NUDT18	0.254389106	3.08E-06	0.14752172	0.289277861	0.229664586
ARHGAP12pS592	NXF1	-0.132594416	6.23E-06	-0.190111708	-0.497379517	0.025657706
ARHGAP12pS592	OTUD7B	-0.271446948	4.46E-05	-0.401774668	-0.369743179	0.158674082
ARHGAP12pS592	PAAF1	-0.240033156	3.25E-05	-0.35325156	0.013909806	0.957743667
ARHGAP12pS592	PDS5B	-0.113058073	2.97E-05	-0.166124888	-0.283256904	0.226211345
ARHGAP12pS592	PLXNB1	0.375974023	2.08E-07	0.23405019	0.253676357	0.402990285
ARHGAP12pS592	PPWD1	-0.182513532	3.54E-05	-0.269014845	-0.256681372	0.274642711
ARHGAP12pS592	ENSG00000270495	0.404039188	4.12E-08	0.25967715	0.759614165	0.010802269
ARHGAP12pS592	RBBP4	-0.152526124	4.51E-05	-0.225802371	-0.008695726	0.97097543
ARHGAP12pS592	SLCO2A1	0.479009828	2.28E-07	0.297602542	0.227110445	0.364778355
ARHGAP12pS592	SNRPD3	-0.144699137	2.11E-05	-0.211377399	0.107975422	0.65046442
ARHGAP12pS592	TNFAIP2	-0.286534209	1.15E-05	-0.41457344	-0.25214232	0.283514795
ARHGAP12pS592	TOP2B	-0.138087122	4.83E-07	-0.191860554	-0.259141397	0.269907563
ARHGAP12pS592	VASN	0.224380956	1.22E-05	0.123822046	0.227648573	0.348594276
ARHGAP12pS592	WDR41	-0.172524328	4.10E-05	-0.254966094	-0.157968157	0.642725673
ARHGAP12pS592	YRDC	-0.255384776	3.59E-05	-0.376514907	-0.443513972	0.199184814
MICALL2pS247	ARL6IP1	1.374042313	4.04E-07	0.842557199	0.526530632	0.006852356
MICALL2pS247	BCL9L	-2.037799238	2.95E-06	-2.892223099	-0.403834317	0.135489129
MICALL2pS247	KRT79	-2.568183861	2.80E-06	-3.642505301	-0.959727377	0.000158401
MICALL2pS247	LTV1	-2.037845827	6.04E-07	-2.838267238	-0.782905888	0.000929586
MICALL2pS247	MLST8	0.758951515	6.09E-06	0.430097231	0.591409763	0.001848122
MICALL2pS247	PTCD1	1.19216709	2.77E-05	0.634759557	0.777482385	0.000239473
MICALL2pS247	USP46	0.922738113	1.10E-05	0.511375579	0.397639827	0.066856055
MICALL2pS247	UTP23	-1.085692813	4.25E-06	-1.548388547	-0.605923344	0.021633955
MICALL2pS247	WDR24	1.650015124	1.09E-06	0.986548836	0.597115813	0.011379975
ARHGEF11pS1155	DEPDC5	-4.512091594	1.37E-12	-5.760001732	-0.583355141	0.059581492
ARHGEF11pS1155	GPD1	3.796676727	4.97E-05	1.962474107	0.373708749	0.257574119
ARHGEF11pS1155	IQGAP2	-1.386649017	1.44E-05	-2.013266743	-0.42249686	0.103037041
ZNF687pS227	BCCIP	-0.705716643	5.92E-06	-1.011111254	-0.312498808	0.412940352
ZNF687pS227	BCKDHB	0.586666444	7.56E-06	0.329851781	0.58994415	0.094494354
ZNF687pS227	BUB3	-0.319770157	5.40E-05	-0.475003619	-0.052632454	0.893025256
ZNF687pS227	RUSF1	0.607044115	4.90E-06	0.346638228	0.535377931	0.137429698
ZNF687pS227	BORCS6	0.590788889	2.95E-05	0.313598961	0.641523579	0.062554434
ZNF687pS227	C8orf82	0.810926162	8.72E-06	0.453495904	0.592926042	0.121344891
ZNF687pS227	NAXD	0.546806838	1.08E-05	0.303281155	0.64480283	0.060795771
ZNF687pS227	CDC73	-0.607217173	8.62E-06	-0.874711729	-0.579435671	0.132243038
ZNF687pS227	CUL2	-0.41513742	2.65E-05	-0.608776736	-0.697680515	0.036654277
ZNF687pS227	DHX29	-0.579469781	7.99E-06	-0.833805737	-0.536974481	0.136035906
ZNF687pS227	DHX9	-0.270289988	1.86E-05	-0.394026061	-0.302137059	0.429412253
ZNF687pS227	UTP25	-0.959456955	4.96E-09	-1.280985125	-0.728372627	0.0404502
ZNF687pS227	DIP2B	-0.424015468	4.36E-05	-0.627324035	-0.541099801	0.132473234
ZNF687pS227	EIF2S1	-0.295701458	4.92E-07	-0.410938021	-0.707381505	0.033046661
ZNF687pS227	GNAI1	0.788114314	7.23E-06	0.443850121	0.657067512	0.054496285
ZNF687pS227	GNB4	0.524251152	4.08E-05	0.273801932	0.175119917	0.652240353
ZNF687pS227	GNG12	0.398485268	1.81E-05	0.216290259	0.609151938	0.081644082
ZNF687pS227	KDM2A	-1.095895738	4.92E-05	-1.624992162	-0.094510928	0.823844435
ZNF687pS227	MCM2	-1.142981908	3.61E-05	-1.685226471	-0.529865432	0.142306534
ZNF687pS227	MCM3	-0.877675802	3.63E-05	-1.294216513	-0.47182436	0.199744062
ZNF687pS227	MCM5	-1.103899838	5.19E-05	-1.63851158	-0.404506258	0.280200311
ZNF687pS227	MSH6	-0.919038674	1.35E-06	-1.291783896	-0.527179429	0.144719043
ZNF687pS227	MTHFD1	-0.45355058	3.91E-05	-0.669689667	-0.580402161	0.101310438
ZNF687pS227	NASP	-0.696565675	8.44E-07	-0.973783442	-0.564464673	0.113344323
ZNF687pS227	NDUFS8	0.395542492	3.97E-05	0.206878706	0.675105581	0.046011858
ZNF687pS227	NUDT18	0.92503981	1.94E-06	0.544088602	0.388883312	0.341022185
ZNF687pS227	PFDN2	-0.494508615	1.23E-05	-0.716189843	-0.35811652	0.343989897
ZNF687pS227	RBBP7	-0.455696301	1.17E-06	-0.639438234	-0.400777266	0.285082054
ZNF687pS227	RETSAT	0.788317112	1.60E-05	0.430155395	0.412359511	0.27006289
ZNF687pS227	MTREX	-0.387420381	1.74E-05	-0.564170131	-0.474566374	0.196780088
ZNF687pS227	TPSB2	0.870632762	4.51E-05	0.452346827	0.428128077	0.250300779
ZNF687pS227	XPO5	-0.767573395	4.61E-05	-1.136798952	-0.402054116	0.283405566
GHDCpS87	AAR2	-0.189253527	7.66E-06	-0.272150962	-0.098549579	0.748738441
GHDCpS87	ABCA8	0.367034396	1.87E-05	0.198969119	0.109902285	0.762471578
GHDCpS87	ACSL1	0.120111378	6.40E-06	0.067945186	-0.116833892	0.703862883
GHDCpS87	ACTN1	-0.125815343	3.66E-07	-0.174303572	-0.060147648	0.845245245
GHDCpS87	ALDH1L2	-0.243426988	8.58E-06	-0.350639442	-0.178800517	0.558911316
GHDCpS87	APOA4	0.143579899	3.05E-05	0.076092136	-0.093723035	0.760713177
GHDCpS87	ARL6IP4	-0.163685315	1.88E-05	-0.238662743	0.184279952	0.610300268
GHDCpS87	ARPC5L	-0.113537542	4.33E-05	-0.167959211	-0.224683521	0.46051576
GHDCpS87	ASF1A	-0.330594634	1.82E-08	-0.445723725	0.335210024	0.343716344
GHDCpS87	BCLAF1	-0.150752766	6.75E-07	-0.210223532	0.038243724	0.901284048
GHDCpS87	BIN3	0.273045904	1.07E-06	0.163325537	0.09611578	0.77861754
GHDCpS87	BPGM	-0.212730613	5.06E-05	-0.315606948	-0.249464299	0.411109246
GHDCpS87	GON7	-0.167374026	7.04E-06	-0.240393172	0.302612457	0.314911679
GHDCpS87	RTRAF	-0.072618948	2.08E-05	-0.106064471	-0.039565135	0.897888912
GHDCpS87	CALD1	-0.181851134	4.03E-06	-0.259171008	0.16905328	0.580870515
GHDCpS87	CBR4	0.249703141	9.48E-07	0.149868499	0.175235734	0.566902136
GHDCpS87	CD276	-0.214954209	3.47E-08	-0.291337206	-0.278189748	0.381292709
GHDCpS87	CD99	-0.332700034	5.17E-06	-0.475768025	0.335918658	0.285735059
GHDCpS87	CDKAL1	-0.227511726	3.00E-05	-0.334358199	-0.341681798	0.277026377
GHDCpS87	CEP128	-0.399107614	2.71E-05	-0.585522045	-0.920136663	0.000161483
GHDCpS87	CKAP4	-0.094674675	2.79E-05	-0.13896538	-0.319883283	0.286666513
GHDCpS87	CYTH1	-0.190529331	3.18E-05	-0.280299889	0.069700338	0.85858123
GHDCpS87	DCTN3	0.177666484	6.18E-07	0.107820217	-0.044648475	0.88484354
GHDCpS87	DDRGK1	-0.112786323	9.48E-06	-0.162700732	-0.511445415	0.074026834
GHDCpS87	EGLN1	0.211388277	3.73E-05	0.1109167	0.369382306	0.263563013
GHDCpS87	EPN3	-0.212613931	1.78E-06	-0.299839919	-0.213430628	0.505382195
GHDCpS87	ABRAXAS2	0.177913644	7.69E-06	0.099967139	0.112209489	0.715135664
GHDCpS87	FAP	-0.308098302	3.81E-08	-0.417907074	-0.273821082	0.365320115
GHDCpS87	FBXO2	0.311787707	3.90E-05	0.16321939	0.368402021	0.294875836
GHDCpS87	FILIP1L	-0.233999927	3.47E-05	-0.344768558	0.119591472	0.7112334
GHDCpS87	FKBP10	-0.215072949	5.41E-05	-0.319482834	-0.241825875	0.426042103
GHDCpS87	FNDC3B	-0.150970542	2.92E-05	-0.221767921	-0.20834687	0.494562785
GHDCpS87	GALE	0.166482794	1.68E-05	0.09065671	0.34416667	0.249529998
GHDCpS87	GPC6	-0.375101858	1.09E-05	-0.542229973	0.094618142	0.769907839
GHDCpS87	HDLBP	-0.097606958	2.60E-05	-0.143092339	-0.128434482	0.675832754
GHDCpS87	HMG20A	-0.203341157	2.15E-06	-0.2874443	0.482310259	0.095079327
GHDCpS87	IGHV3-15	-0.339305874	2.35E-07	-0.467962702	-0.20195182	0.575811147
GHDCpS87	IGKV1-33	-0.214389067	1.06E-05	-0.309801657	-0.113911906	0.710979406
GHDCpS87	IGKV3-15	-0.272277723	2.05E-06	-0.384661121	-0.323037676	0.281671611
GHDCpS87	IRF9	0.215413853	5.83E-06	0.122262177	-0.099582034	0.758146334
GHDCpS87	ISCU	0.186182138	6.16E-06	0.105466101	0.023315074	0.939735399
GHDCpS87	ISLR	-0.253902174	1.16E-05	-0.367402204	0.108280454	0.724755436
GHDCpS87	ITGA4	-0.299467395	2.74E-05	-0.439410596	-0.083743157	0.785627034
GHDCpS87	ITIH5	0.350341071	2.00E-05	0.189359426	0.071817484	0.824471462
GHDCpS87	KIAA1671	-0.215842147	1.89E-05	-0.314752967	-0.019920361	0.956441498
GHDCpS87	KRT14	-0.329188421	3.80E-05	-0.485818401	0.092003585	0.764991193
GHDCpS87	KRT6A	-0.410828351	2.47E-05	-0.601759851	-0.281003856	0.402565301
GHDCpS87	LTBP4	-0.31145299	2.83E-06	-0.44181	0.213404681	0.483900714
GHDCpS87	MAGI3	0.429876136	2.35E-06	0.251396914	0.511822718	0.15896905
GHDCpS87	MRC2	-0.171558898	2.49E-05	-0.251324958	0.265800952	0.380085355
GHDCpS87	MYL9	-0.18276079	2.53E-05	-0.267803065	0.105782851	0.730890012
GHDCpS87	MZB1	-0.305291265	3.42E-05	-0.449696526	-0.250664149	0.408788058
GHDCpS87	PARVA	-0.147253411	2.44E-07	-0.203157653	0.048859231	0.874057547
GHDCpS87	PAWR	-0.18246433	4.21E-05	-0.269777285	0.022157669	0.942722531
GHDCpS87	PDK1	-0.261553299	1.18E-08	-0.351440727	-0.537906895	0.08786187
GHDCpS87	PDLIM7	-0.168742732	3.87E-05	-0.249111156	0.208111311	0.495061956
GHDCpS87	PHKG2	0.237074861	5.49E-06	0.134841053	0.291034044	0.385243518
GHDCpS87	PHLDB1	-0.216166265	4.90E-06	-0.308893353	0.303261605	0.31382274
GHDCpS87	PICALM	-0.114076977	8.04E-09	-0.152842842	-0.177113128	0.562687929
GHDCpS87	PLS3	-0.128283632	5.13E-05	-0.190371661	0.100870642	0.742998093
GHDCpS87	PNN	-0.116757427	4.93E-05	-0.173133803	-0.187523395	0.53955867
GHDCpS87	PPFIBP1	-0.181307019	4.67E-05	-0.268585242	0.184021399	0.547293591
GHDCpS87	PRKG1	-0.23364614	4.19E-05	-0.345431858	0.302487513	0.315121513
GHDCpS87	PLPBP	0.137121752	1.58E-06	0.081139892	0.572659776	0.04080709
GHDCpS87	PRPSAP1	0.113316406	5.34E-06	0.064513293	-0.029450749	0.923912904
GHDCpS87	PTGIS	-0.313785449	1.69E-07	-0.431368777	0.084114035	0.784697649
GHDCpS87	PTRHD1	0.154940967	4.48E-05	0.080527704	0.317675853	0.290192135
GHDCpS87	RBFOX2	-0.21342264	1.92E-06	-0.301264426	-0.523520472	0.080670255
GHDCpS87	RBM10	-0.147125529	3.38E-05	-0.216667942	-0.179373806	0.55763062
GHDCpS87	REPS1	-0.162369167	9.66E-06	-0.234293744	-0.208451865	0.494340367
GHDCpS87	RRBP1	-0.124043009	5.48E-07	-0.172581838	0.002146825	0.994446419
GHDCpS87	RRM2	0.305182576	4.00E-05	0.159559856	-0.058565271	0.881032295
GHDCpS87	RSU1	-0.106994422	2.28E-06	-0.151357551	0.129137384	0.674146245
GHDCpS87	SEC11C	-0.211844358	2.14E-05	-0.309557569	-0.394560592	0.182147308
GHDCpS87	SEC23A	-0.118160846	1.48E-06	-0.166267416	-0.301682569	0.316475248
GHDCpS87	SF3A3	-0.090605757	1.88E-05	-0.132115367	-0.064517326	0.834137702
GHDCpS87	SF3B6	-0.151750417	2.12E-06	-0.214471254	-0.219053664	0.472120139
GHDCpS87	SLC1A5	-0.198023117	9.70E-06	-0.285756818	-0.454050615	0.119098261
GHDCpS87	SLC35A1	0.364089195	2.96E-05	0.193216008	0.105818126	0.786430503
GHDCpS87	SLC39A14	-0.201666451	1.20E-05	-0.2919623	-0.242306392	0.472836197
GHDCpS87	SMYD5	0.250246889	1.78E-07	0.156298329	0.073886282	0.819487512
GHDCpS87	SPARC	-0.207683742	1.43E-07	-0.285041616	0.051912204	0.866249666
GHDCpS87	SPEN	-0.431685161	9.17E-09	-0.578950456	0.170267694	0.578115867
GHDCpS87	SRSF2	-0.109378567	3.90E-05	-0.161496183	-0.110283723	0.719845927
GHDCpS87	SRSF3	-0.106712852	2.61E-06	-0.151220427	-0.106261747	0.7297126
GHDCpS87	SSR4	-0.118602512	1.16E-07	-0.162461667	-0.351048527	0.239557352
GHDCpS87	ST6GAL1	-0.263682016	4.41E-05	-0.390205538	-0.257879415	0.394971426
GHDCpS87	SYNCRIP	-0.065966007	5.10E-05	-0.09788184	-0.399881551	0.17579143
GHDCpS87	TBC1D24	0.273637102	2.81E-06	0.159145821	0.078528513	0.798721627
GHDCpS87	TCP11L1	-0.270754037	4.51E-07	-0.375916365	0.365292743	0.2692958
GHDCpS87	THEM4	0.231431655	4.91E-05	0.119706508	-0.388867647	0.266734546
GHDCpS87	THY1	-0.279975996	1.69E-10	-0.365893684	-0.071622912	0.816136773
GHDCpS87	TMEM70	0.280486064	6.13E-06	0.158907477	-0.20820961	0.516094314
GHDCpS87	TPM1	-0.136444795	2.84E-05	-0.200337716	0.216446455	0.477540414
GHDCpS87	TPPP	0.308260824	4.87E-05	0.159507754	0.281120138	0.37608605
GHDCpS87	TRIM5	-0.419048702	2.40E-05	-0.613497848	0.318955385	0.312255742
GHDCpS87	TSC1	-0.481017575	4.65E-05	-0.712508833	0.180337733	0.555480018
GHDCpS87	TTC38	0.208863097	4.64E-05	0.108357676	0.482699658	0.111954063
GHDCpS87	TXNDC5	-0.101447586	2.51E-05	-0.14862962	-0.343426397	0.250617289
GHDCpS87	UBXN4	-0.148490012	3.85E-05	-0.219191697	-0.166367237	0.586981834
GHDCpS87	VCAN	-0.189578161	3.40E-05	-0.279221664	0.232119529	0.445400825
GHDCpS87	YIF1B	-0.150204269	1.17E-06	-0.210764442	-0.498725842	0.082770877
GHDCpS87	ZFYVE19	0.352961549	4.02E-06	0.202910505	-0.119987972	0.777172577
TC2NpS191	AKAP11	2.626873962	3.77E-08	1.691000468	0.713309915	0.004179402
TC2NpS191	CSTA	2.087991036	1.75E-05	1.134950899	0.424734541	0.114546115
TC2NpS191	STK26	1.320475178	5.23E-05	0.680701788	0.382593371	0.071577557
ENGASEpS66	CAMK1D	0.152859616	1.02E-08	0.100550903	0.696002893	0.055194515
ENGASEpS66	EIF4A3	-0.056681266	7.16E-06	-0.081429115	-0.5183781	0.152790855
ENGASEpS66	EPB41L1	0.137729312	6.43E-06	0.077898256	0.531670035	0.14069902
ENGASEpS66	FTL	0.174345837	3.57E-05	0.091678191	0.452345679	0.221510994
ENGASEpS66	HGS	0.050446419	3.88E-05	0.026417306	0.694816597	0.037766042
